timestamp,pose_e,pose_n,pose_u,gnss_position_status
1665831185.85687,0,0,0,0
1665831185.89687,0,0,0,0
1665831185.93687,0,0,0,0
1665831185.97687,0,0,0,0
1665831186.01889,736.0013259,-373.1118919,12.56413247,4
1665831186.05889,0,0,0,0
1665831186.09889,0,0,0,0
1665831186.13889,0,0,0,0
1665831186.17889,0,0,0,0
1665831186.21959,736.7804264,-372.9391256,12.58705276,4
1665831186.25959,0,0,0,0
1665831186.29959,0,0,0,0
1665831186.33959,0,0,0,0
1665831186.37959,0,0,0,0
1665831186.41774,737.5397879,-372.7746837,12.64387474,4
1665831186.45774,0,0,0,0
1665831186.49774,0,0,0,0
1665831186.53774,0,0,0,0
1665831186.57774,0,0,0,0
1665831186.61865,738.2904885,-372.6200401,12.65869705,4
1665831186.65865,0,0,0,0
1665831186.69865,0,0,0,0
1665831186.73865,0,0,0,0
1665831186.77865,0,0,0,0
1665831186.81672,739.0217504,-372.4557838,12.69002209,4
1665831186.85672,0,0,0,0
1665831186.89672,0,0,0,0
1665831186.93672,0,0,0,0
1665831186.97672,0,0,0,0
1665831187.01711,739.7376699,-372.2872744,12.69714906,4
1665831187.05711,0,0,0,0
1665831187.09711,0,0,0,0
1665831187.13711,0,0,0,0
1665831187.17711,0,0,0,0
1665831187.21779,740.4191165,-372.1178444,12.72578,4
1665831187.25779,0,0,0,0
1665831187.29779,0,0,0,0
1665831187.33779,0,0,0,0
1665831187.37779,0,0,0,0
1665831187.41775,741.0826412,-371.9541474,12.7440126,4
1665831187.45775,0,0,0,0
1665831187.49775,0,0,0,0
1665831187.53775,0,0,0,0
1665831187.57775,0,0,0,0
1665831187.61865,741.7206479,-371.7665987,12.7511495,4
1665831187.65865,0,0,0,0
1665831187.69865,0,0,0,0
1665831187.73865,0,0,0,0
1665831187.77865,0,0,0,0
1665831187.81864,742.3372413,-371.5712862,12.77188926,4
1665831187.85864,0,0,0,0
1665831187.89864,0,0,0,0
1665831187.93864,0,0,0,0
1665831187.97864,0,0,0,0
1665831188.01969,742.9356099,-371.3744961,12.79433117,4
1665831188.05969,0,0,0,0
1665831188.09969,0,0,0,0
1665831188.13969,0,0,0,0
1665831188.17969,0,0,0,0
1665831188.21814,743.4893235,-371.1435008,12.80478021,4
1665831188.25814,0,0,0,0
1665831188.29814,0,0,0,0
1665831188.33814,0,0,0,0
1665831188.37814,0,0,0,0
1665831188.41663,744.0232927,-370.8982694,12.81893233,4
1665831188.45663,0,0,0,0
1665831188.49663,0,0,0,0
1665831188.53663,0,0,0,0
1665831188.57663,0,0,0,0
1665831188.61694,744.5119998,-370.6068146,12.83359237,4
1665831188.65694,0,0,0,0
1665831188.69694,0,0,0,0
1665831188.73694,0,0,0,0
1665831188.77694,0,0,0,0
1665831188.81662,744.9814212,-370.2942838,12.88165583,4
1665831188.85662,0,0,0,0
1665831188.89662,0,0,0,0
1665831188.93662,0,0,0,0
1665831188.97662,0,0,0,0
1665831189.01739,745.3961598,-369.9314604,12.89542855,4
1665831189.05739,0,0,0,0
1665831189.09739,0,0,0,0
1665831189.13739,0,0,0,0
1665831189.17739,0,0,0,0
1665831189.21683,745.7858411,-369.5560667,12.93400489,4
1665831189.25683,0,0,0,0
1665831189.29683,0,0,0,0
1665831189.33683,0,0,0,0
1665831189.37683,0,0,0,0
1665831189.41652,746.1229681,-369.1353736,12.95228995,4
1665831189.45652,0,0,0,0
1665831189.49652,0,0,0,0
1665831189.53652,0,0,0,0
1665831189.57652,0,0,0,0
1665831189.61686,746.4137679,-368.6442343,12.97158446,4
1665831189.65686,0,0,0,0
1665831189.69686,0,0,0,0
1665831189.73686,0,0,0,0
1665831189.77686,0,0,0,0
1665831189.81571,746.6714563,-368.1196291,12.98938474,4
1665831189.85571,0,0,0,0
1665831189.89571,0,0,0,0
1665831189.93571,0,0,0,0
1665831189.97571,0,0,0,0
1665831190.01719,746.8907174,-367.5404798,13.01799261,4
1665831190.05719,0,0,0,0
1665831190.09719,0,0,0,0
1665831190.13719,0,0,0,0
1665831190.17719,0,0,0,0
1665831190.21625,747.0587934,-366.9093758,13.0523094,4
1665831190.25625,0,0,0,0
1665831190.29625,0,0,0,0
1665831190.33625,0,0,0,0
1665831190.37625,0,0,0,0
1665831190.41879,747.2080294,-366.195434,13.07873311,4
1665831190.45879,0,0,0,0
1665831190.49879,0,0,0,0
1665831190.53879,0,0,0,0
1665831190.57879,0,0,0,0
1665831190.61884,747.3463274,-365.4408133,13.10776035,4
1665831190.65884,0,0,0,0
1665831190.69884,0,0,0,0
1665831190.73884,0,0,0,0
1665831190.77884,0,0,0,0
1665831190.8167,747.4170411,-364.6503272,13.15699747,4
1665831190.8567,0,0,0,0
1665831190.8967,0,0,0,0
1665831190.9367,0,0,0,0
1665831190.9767,0,0,0,0
1665831191.01677,747.487749,-363.8250768,13.18103648,4
1665831191.05677,0,0,0,0
1665831191.09677,0,0,0,0
1665831191.13677,0,0,0,0
1665831191.17677,0,0,0,0
1665831191.21968,747.5485782,-362.938252,13.19028006,4
1665831191.25968,0,0,0,0
1665831191.29968,0,0,0,0
1665831191.33968,0,0,0,0
1665831191.37968,0,0,0,0
1665831191.41876,747.6081925,-362.0035378,13.23342638,4
1665831191.45876,0,0,0,0
1665831191.49876,0,0,0,0
1665831191.53876,0,0,0,0
1665831191.57876,0,0,0,0
1665831191.61892,747.6395558,-361.0323993,13.28057794,4
1665831191.65892,0,0,0,0
1665831191.69892,0,0,0,0
1665831191.73892,0,0,0,0
1665831191.77892,0,0,0,0
1665831191.8161,747.6777507,-360.0192864,13.33433093,4
1665831191.8561,0,0,0,0
1665831191.8961,0,0,0,0
1665831191.9361,0,0,0,0
1665831191.9761,0,0,0,0
1665831192.01935,747.7399343,-358.9645653,13.35538329,4
1665831192.05935,0,0,0,0
1665831192.09935,0,0,0,0
1665831192.13935,0,0,0,0
1665831192.17935,0,0,0,0
1665831192.25023,747.799841,-357.8835889,13.40503723,4
1665831192.29023,0,0,0,0
1665831192.33023,0,0,0,0
1665831192.37023,0,0,0,0
1665831192.41023,0,0,0,0
1665831192.41904,747.8586793,-356.7680337,13.43459304,4
1665831192.45904,0,0,0,0
1665831192.49904,0,0,0,0
1665831192.53904,0,0,0,0
1665831192.57904,0,0,0,0
1665831192.61962,747.936956,-355.6101338,13.48184876,4
1665831192.65962,0,0,0,0
1665831192.69962,0,0,0,0
1665831192.73962,0,0,0,0
1665831192.77962,0,0,0,0
1665831192.81939,748.0118862,-354.4106289,13.51320697,4
1665831192.85939,0,0,0,0
1665831192.89939,0,0,0,0
1665831192.93939,0,0,0,0
1665831192.97939,0,0,0,0
1665831193.01901,748.0787665,-353.1776573,13.56296776,4
1665831193.05901,0,0,0,0
1665831193.09901,0,0,0,0
1665831193.13901,0,0,0,0
1665831193.17901,0,0,0,0
1665831193.22007,748.1517202,-351.9128814,13.62272936,4
1665831193.26007,0,0,0,0
1665831193.30007,0,0,0,0
1665831193.34007,0,0,0,0
1665831193.38007,0,0,0,0
1665831193.41904,748.2225446,-350.6133428,13.68029287,4
1665831193.45904,0,0,0,0
1665831193.49904,0,0,0,0
1665831193.53904,0,0,0,0
1665831193.57904,0,0,0,0
1665831193.61673,748.2979233,-349.2840339,13.74275722,4
1665831193.65673,0,0,0,0
1665831193.69673,0,0,0,0
1665831193.73673,0,0,0,0
1665831193.77673,0,0,0,0
1665831193.81642,748.3868185,-347.9408561,13.81412046,4
1665831193.85642,0,0,0,0
1665831193.89642,0,0,0,0
1665831193.93642,0,0,0,0
1665831193.97642,0,0,0,0
1665831194.01716,748.4703916,-346.5496014,13.86348667,4
1665831194.05716,0,0,0,0
1665831194.09716,0,0,0,0
1665831194.13716,0,0,0,0
1665831194.17716,0,0,0,0
1665831194.21712,748.5478883,-345.1282076,13.92125492,4
1665831194.25712,0,0,0,0
1665831194.29712,0,0,0,0
1665831194.33712,0,0,0,0
1665831194.37712,0,0,0,0
1665831194.41681,748.6322161,-343.6768576,13.97302367,4
1665831194.45681,0,0,0,0
1665831194.49681,0,0,0,0
1665831194.53681,0,0,0,0
1665831194.57681,0,0,0,0
1665831194.61713,748.7132004,-342.2057225,14.01939354,4
1665831194.65713,0,0,0,0
1665831194.69713,0,0,0,0
1665831194.73713,0,0,0,0
1665831194.77713,0,0,0,0
1665831194.81635,748.8016288,-340.709811,14.10406352,4
1665831194.85635,0,0,0,0
1665831194.89635,0,0,0,0
1665831194.93635,0,0,0,0
1665831194.97635,0,0,0,0
1665831195.0165,748.8958228,-339.1807991,14.16433425,4
1665831195.0565,0,0,0,0
1665831195.0965,0,0,0,0
1665831195.1365,0,0,0,0
1665831195.1765,0,0,0,0
1665831195.21684,748.98561,-337.6177646,14.22720693,4
1665831195.25684,0,0,0,0
1665831195.29684,0,0,0,0
1665831195.33684,0,0,0,0
1665831195.37684,0,0,0,0
1665831195.41563,749.0760048,-336.0427114,14.30017978,4
1665831195.45563,0,0,0,0
1665831195.49563,0,0,0,0
1665831195.53563,0,0,0,0
1665831195.57563,0,0,0,0
1665831195.6164,749.1867515,-334.4415858,14.39925123,4
1665831195.6564,0,0,0,0
1665831195.6964,0,0,0,0
1665831195.7364,0,0,0,0
1665831195.7764,0,0,0,0
1665831195.81631,749.2987099,-332.8254816,14.48102292,4
1665831195.85631,0,0,0,0
1665831195.89631,0,0,0,0
1665831195.93631,0,0,0,0
1665831195.97631,0,0,0,0
1665831196.0165,749.417353,-331.1879292,14.59769452,4
1665831196.0565,0,0,0,0
1665831196.0965,0,0,0,0
1665831196.1365,0,0,0,0
1665831196.1765,0,0,0,0
1665831196.21937,749.5268755,-329.5108049,14.67256883,4
1665831196.25937,0,0,0,0
1665831196.29937,0,0,0,0
1665831196.33937,0,0,0,0
1665831196.37937,0,0,0,0
1665831196.41749,749.6397419,-327.8153763,14.78384324,4
1665831196.45749,0,0,0,0
1665831196.49749,0,0,0,0
1665831196.53749,0,0,0,0
1665831196.57749,0,0,0,0
1665831196.61831,749.7471384,-326.0923967,14.89431925,4
1665831196.65831,0,0,0,0
1665831196.69831,0,0,0,0
1665831196.73831,0,0,0,0
1665831196.77831,0,0,0,0
1665831196.81582,749.8581748,-324.3590599,14.96809489,4
1665831196.85582,0,0,0,0
1665831196.89582,0,0,0,0
1665831196.93582,0,0,0,0
1665831196.97582,0,0,0,0
1665831197.01674,749.9783228,-322.6262768,15.03596897,4
1665831197.05674,0,0,0,0
1665831197.09674,0,0,0,0
1665831197.13674,0,0,0,0
1665831197.17674,0,0,0,0
1665831197.21862,750.1057602,-320.8594709,15.12394342,4
1665831197.25862,0,0,0,0
1665831197.29862,0,0,0,0
1665831197.33862,0,0,0,0
1665831197.37862,0,0,0,0
1665831197.41871,750.2488426,-319.0630803,15.25141704,4
1665831197.45871,0,0,0,0
1665831197.49871,0,0,0,0
1665831197.53871,0,0,0,0
1665831197.57871,0,0,0,0
1665831197.61939,750.3878258,-317.2853656,15.37678969,4
1665831197.65939,0,0,0,0
1665831197.69939,0,0,0,0
1665831197.73939,0,0,0,0
1665831197.77939,0,0,0,0
1665831197.8176,750.5316634,-315.4667848,15.48526329,4
1665831197.8576,0,0,0,0
1665831197.8976,0,0,0,0
1665831197.9376,0,0,0,0
1665831197.9776,0,0,0,0
1665831198.01907,750.6631976,-313.6252764,15.59533896,4
1665831198.05907,0,0,0,0
1665831198.09907,0,0,0,0
1665831198.13907,0,0,0,0
1665831198.17907,0,0,0,0
1665831198.21853,750.8146262,-311.7889432,15.69461149,4
1665831198.25853,0,0,0,0
1665831198.29853,0,0,0,0
1665831198.33853,0,0,0,0
1665831198.37853,0,0,0,0
1665831198.41865,750.980636,-309.9280173,15.82378297,4
1665831198.45865,0,0,0,0
1665831198.49865,0,0,0,0
1665831198.53865,0,0,0,0
1665831198.57865,0,0,0,0
1665831198.6179,751.1244712,-308.0460139,15.95725753,4
1665831198.6579,0,0,0,0
1665831198.6979,0,0,0,0
1665831198.7379,0,0,0,0
1665831198.7779,0,0,0,0
1665831198.81859,751.2578197,-306.1667818,16.02713264,4
1665831198.85859,0,0,0,0
1665831198.89859,0,0,0,0
1665831198.93859,0,0,0,0
1665831198.97859,0,0,0,0
1665831199.0176,751.3928375,-304.2574098,16.10620843,4
1665831199.0576,0,0,0,0
1665831199.0976,0,0,0,0
1665831199.1376,0,0,0,0
1665831199.1776,0,0,0,0
1665831199.21872,751.5678081,-302.3534009,16.27057869,4
1665831199.25872,0,0,0,0
1665831199.29872,0,0,0,0
1665831199.33872,0,0,0,0
1665831199.37872,0,0,0,0
1665831199.41908,751.72971,-300.439775,16.37635036,4
1665831199.45908,0,0,0,0
1665831199.49908,0,0,0,0
1665831199.53908,0,0,0,0
1665831199.57908,0,0,0,0
1665831199.61923,751.9102997,-298.5451955,16.53381836,4
1665831199.65923,0,0,0,0
1665831199.69923,0,0,0,0
1665831199.73923,0,0,0,0
1665831199.77923,0,0,0,0
1665831199.81961,752.0776691,-296.6271314,16.64488845,4
1665831199.85961,0,0,0,0
1665831199.89961,0,0,0,0
1665831199.93961,0,0,0,0
1665831199.97961,0,0,0,0
1665831200.02038,752.2511144,-294.6822563,16.78425847,4
1665831200.06038,0,0,0,0
1665831200.10038,0,0,0,0
1665831200.14038,0,0,0,0
1665831200.18038,0,0,0,0
1665831200.21953,752.415292,-292.7824967,16.86212692,4
1665831200.25953,0,0,0,0
1665831200.29953,0,0,0,0
1665831200.33953,0,0,0,0
1665831200.37953,0,0,0,0
1665831200.41809,752.5761287,-290.8886544,16.93949491,4
1665831200.45809,0,0,0,0
1665831200.49809,0,0,0,0
1665831200.53809,0,0,0,0
1665831200.57809,0,0,0,0
1665831200.61898,752.7472985,-288.9983266,17.06396096,4
1665831200.65898,0,0,0,0
1665831200.69898,0,0,0,0
1665831200.73898,0,0,0,0
1665831200.77898,0,0,0,0
1665831200.81866,752.9143656,-287.1275979,17.15712603,4
1665831200.85866,0,0,0,0
1665831200.89866,0,0,0,0
1665831200.93866,0,0,0,0
1665831200.97866,0,0,0,0
1665831201.0167,753.0651818,-285.2712927,17.23509183,4
1665831201.0567,0,0,0,0
1665831201.0967,0,0,0,0
1665831201.1367,0,0,0,0
1665831201.1767,0,0,0,0
1665831201.21795,753.2337724,-283.4366217,17.34475401,4
1665831201.25795,0,0,0,0
1665831201.29795,0,0,0,0
