%time,field.ecef_vel.e,field.ecef_vel.n,field.ecef_vel.u
1665831163.42798,2.740360609,0.520437344,-0.048847873
1665831163.62809,3.073515588,0.497643557,-0.039057408
1665831163.82938,3.327894905,0.459642331,0.245912906
1665831164.03063,3.630684591,0.759128191,-0.061458036
1665831164.23202,3.918399843,0.696039295,-0.097093062
1665831164.43254,4.099973411,0.794936542,0.001976227
1665831164.62383,4.374810244,0.994902442,-0.203839234
1665831164.82505,4.535431827,1.058181298,-0.091704167
1665831165.02644,4.853623006,1.173425599,-0.14733091
1665831165.22765,5.012514897,1.261805204,-0.013872368
1665831165.42902,5.192620322,1.37848643,-0.137367215
1665831165.62828,5.38797417,1.5008883,-0.079145773
1665831165.82939,5.542572162,1.621352055,-0.07514143
1665831166.03063,5.586168867,1.612275022,0.381867546
1665831166.23197,5.941402086,1.855722561,-0.020999325
1665831166.42229,6.002145889,1.942463505,0.288299962
1665831166.62368,6.242379073,2.143592553,-0.070275292
1665831166.8239,6.258526761,2.382038902,-0.157571172
1665831167.02526,6.543979662,2.549149143,0.036899645
1665831167.22661,6.405843281,2.717785823,-0.304712153
1665831167.42784,6.670225461,2.90395179,-0.147723917
1665831167.62906,6.594950014,2.702116793,0.907471676
1665831167.83044,6.937584437,3.185294377,-0.007095377
1665831168.0323,6.867609367,3.237017727,0.568868446
1665831168.23275,6.907620606,3.649684243,-0.021681728
1665831168.43397,7.002723571,3.684686748,-0.279814157
1665831168.62436,7.185043455,3.708173746,0.14797148
1665831168.82468,7.241961657,4.351799892,-0.844558959
1665831169.02621,7.328863705,4.348814827,-0.552346206
1665831169.22687,7.420361526,4.316306507,0.132641428
1665831169.42807,7.258575822,4.408759703,-0.844336506
1665831169.63026,7.775974509,4.14650645,1.056368458
1665831169.83165,7.387604518,4.599367656,-0.126914605
1665831170.02282,7.86990639,4.741876376,-0.174711776
1665831170.22405,7.991643038,4.620482161,0.23997593
1665831170.42464,7.974181427,4.65364033,0.156934205
1665831170.62595,8.015931127,4.858216405,0.237755997
1665831170.82734,8.111140205,4.742313629,-0.059830642
1665831171.02891,8.153862188,5.022232601,0.205790237
1665831171.23029,8.370562669,4.891915961,0.197714651
1665831171.43177,8.199889121,5.133149315,-0.019983486
1665831171.62318,8.408961188,5.133377164,-0.019785995
1665831171.82372,8.430949854,5.139985035,0.16188614
1665831172.02502,8.733860714,4.907274506,-0.035473762
1665831172.22659,8.585252612,5.076501563,0.165370046
1665831172.42705,8.760238226,5.086561251,0.098804233
1665831172.63939,8.77228481,4.978956231,0.428255868
1665831172.82962,8.871981742,5.109709266,0.222597351
1665831173.03099,8.989459842,5.036408779,0.001028773
1665831173.23135,9.045828588,5.000748612,0.122882156
1665831173.43311,8.938904314,4.878419832,0.299555893
1665831173.62481,9.048289129,5.070502944,-0.059373321
1665831173.82612,9.223276041,4.907569498,-0.237717378
1665831174.02675,9.19631877,4.976242346,0.143441533
1665831174.22807,9.175679235,4.83263876,0.122276481
1665831174.42843,9.188627905,4.950832924,-0.02646733
1665831174.62977,9.056170517,4.712882381,0.635724303
1665831174.83106,9.198106354,4.8958202,0.078578656
1665831175.03247,9.383695145,4.513217394,1.00142585
1665831175.23396,9.004478987,4.839731895,0.11394028
