%time,estimated_velocity,yaw_rate
1665831589.2149,10.8305549622,0
1665831589.22706,10.865278244,0
1665831589.23947,10.8541660309,0
1665831589.25156,10.8291664124,0
1665831589.2637,10.8388881683,0
1665831589.27627,10.8472223282,0
1665831589.28765,10.8430557251,0
1665831589.30064,10.8486118317,0
1665831589.31206,10.831943512,0
1665831589.32418,10.8236103058,0
1665831589.33644,10.8513889313,0
1665831589.34947,10.8333339691,0
1665831589.361,10.8583335876,0
1665831589.37359,10.8611106873,0
1665831589.38659,10.8361110687,0
1665831589.39793,10.8444442749,0
1665831589.41067,10.8611106873,0
1665831589.42253,10.831943512,0
1665831589.43471,10.8166666031,0
1665831589.44709,10.838889122,0
1665831589.45904,10.8666667938,0
1665831589.47182,10.8527774811,0
1665831589.48352,10.8569450378,0
1665831589.49617,10.8722219467,0
1665831589.50786,10.8944444656,0
1665831589.52092,10.8777770996,0
1665831589.53238,10.8708333969,0
1665831589.54465,10.8763885498,0
1665831589.55659,10.8541660309,0
1665831589.56881,10.8625001907,0
1665831589.58103,10.8666667938,0
1665831589.59319,10.8458328247,0
1665831589.60528,10.848610878,0
1665831589.61748,10.8583335876,0
1665831589.63042,10.8680553436,0
1665831589.64183,10.8680553436,0
1665831589.65486,10.8805561066,0
1665831589.66685,10.8833332062,0
1665831589.67878,10.8888893127,0
1665831589.69139,10.884721756,0
1665831589.70327,10.8819446564,0
1665831589.71632,10.8875007629,0
1665831589.72773,10.8805561066,0
1665831589.74016,10.8986110687,0
1665831589.75228,10.8972225189,0
1665831589.76469,10.8999996185,0
1665831589.77669,10.8791675568,0
1665831589.7888,10.8944444656,0
1665831589.80101,10.8999996185,0
1665831589.81316,10.8930549622,0
1665831589.82584,10.8916664124,0
1665831589.83762,10.9166669846,0
1665831589.85075,10.9263887405,0
1665831589.8621,10.9027786255,0
1665831589.8743,10.9069442749,0
1665831589.88647,10.9194450378,0
1665831589.89878,10.8986110687,0
1665831589.91108,10.8999996185,0
1665831589.92314,10.9291667938,0
1665831589.93549,10.9055557251,0
1665831589.94753,10.9027776718,0
1665831589.95998,10.9083328247,0
1665831589.97204,10.927778244,0
1665831589.9844,10.9125003815,0
1665831589.99674,10.9208335876,0
1665831590.00892,10.9555549622,0
1665831590.02146,10.9361114502,0
1665831590.03359,10.9347229004,0
1665831590.04593,10.9375,0
1665831590.05793,10.9375,0
1665831590.07063,10.8916664124,0
1665831590.08271,10.9152774811,0
1665831590.09445,10.9583330154,0
1665831590.10677,10.9527778625,0
1665831590.11882,10.9097213745,0
1665831590.13103,10.9375,0
1665831590.1431,10.9680557251,0
1665831590.15537,10.9402770996,0
1665831590.16787,10.9083328247,0
1665831590.18041,10.9361114502,0
1665831590.19239,10.9861106873,0
1665831590.20402,10.9541664124,0
1665831590.21701,10.9388885498,0
1665831590.22847,10.9416666031,0
1665831590.24163,10.9694442749,0
1665831590.2529,10.9347229004,0
1665831590.26585,10.9097223282,0
1665831590.27783,10.963889122,0
1665831590.29078,10.9736118317,0
1665831590.3021,10.9541664124,0
1665831590.31536,10.9624996185,0
1665831590.32674,10.9986114502,0
1665831590.33906,11.0138893127,0
1665831590.35224,10.9750003815,0
1665831590.36461,10.9861106873,0
1665831590.37621,11.0041666031,0
1665831590.38792,10.9694442749,0
1665831590.40015,10.9444446564,0
1665831590.41285,10.9611110687,0
1665831590.42445,10.9611110687,0
1665831590.43654,10.9375,0
1665831590.44891,10.9527778625,0
1665831590.4609,10.9763889313,0
1665831590.47311,10.9791660309,0
1665831590.48536,10.9805555344,0
